,Name,Squad,Avg Squad Age,Foreigners,Avg Market Value ($),Total Market Value ($)
0,Real Madrid,23,27.4,16,40050000.0,921250000.0
1,FC Barcelona,25,25.4,10,35800000.0,895070000.0
2,Atlético de Madrid,22,27.8,16,30580000.0,672650000.0
3,Real Sociedad,27,24.8,5,15130000.0,408430000.0
4,Villarreal CF,25,28.0,11,15850000.0,396220000.0
5,Sevilla FC,25,28.5,18,12170000.0,304150000.0
6,Real Betis Balompié,26,28.8,12,11000000.0,286000000.0
7,Valencia CF,25,24.4,14,10440000.0,260920000.00000003
8,Athletic Bilbao,25,27.3,1,10420000.0,260589999.99999997
9,Getafe CF,24,27.3,12,6610000.0,158730000.0
10,Celta de Vigo,22,26.0,9,6440000.0,141570000.0
11,CA Osasuna,24,27.6,5,5680000.0,136400000.0
12,RCD Espanyol Barcelona,21,26.5,5,4830000.0,101420000.0
13,Girona FC,26,26.0,9,3880000.0,100760000.0
14,UD Almería,28,25.4,13,3420000.0,95700000.0
15,Rayo Vallecano,27,28.2,10,3360000.0,90750000.0
16,Elche CF,25,28.0,9,3180000.0,79420000.0
17,RCD Mallorca,25,27.8,15,3150000.0,78760000.0
18,Real Valladolid CF,25,27.7,10,2870000.0,71670000.0
19,Cádiz CF,27,28.6,9,2650000.0,71500000.0
