,Team,Position,Total Market Value ($)
0,Athletic Bilbao,Defenders,65890000.0
1,Athletic Bilbao,Forwards,80850000.0
2,Athletic Bilbao,Goalkeepers,33000000.0
3,Athletic Bilbao,Midfielders,80850000.0
4,Atlético de Madrid,Defenders,168300000.0
5,Atlético de Madrid,Forwards,264000000.0
6,Atlético de Madrid,Goalkeepers,47850000.0
7,Atlético de Madrid,Midfielders,192500000.0
8,CA Osasuna,Defenders,46750000.0
9,CA Osasuna,Forwards,49500000.0
10,CA Osasuna,Goalkeepers,12210000.0
11,CA Osasuna,Midfielders,27940000.0
12,Celta de Vigo,Defenders,44000000.0
13,Celta de Vigo,Forwards,37950000.0
14,Celta de Vigo,Goalkeepers,5720000.0
15,Celta de Vigo,Midfielders,53900000.0
16,Cádiz CF,Defenders,21340000.0
17,Cádiz CF,Forwards,23100000.0
18,Cádiz CF,Goalkeepers,7480000.0
19,Cádiz CF,Midfielders,19580000.0
20,Elche CF,Defenders,21230000.0
21,Elche CF,Forwards,38500000.0
22,Elche CF,Goalkeepers,4180000.0
23,Elche CF,Midfielders,15510000.0
24,FC Barcelona,Defenders,254100000.0
25,FC Barcelona,Forwards,297000000.0
26,FC Barcelona,Goalkeepers,39270000.0
27,FC Barcelona,Midfielders,304700000.0
28,Getafe CF,Defenders,44880000.0
29,Getafe CF,Forwards,55000000.0
30,Getafe CF,Goalkeepers,9900000.0
31,Getafe CF,Midfielders,48950000.0
32,Girona FC,Defenders,32230000.0
33,Girona FC,Forwards,27280000.0
34,Girona FC,Goalkeepers,2860000.0
35,Girona FC,Midfielders,38390000.0
36,RCD Espanyol Barcelona,Defenders,25630000.0
37,RCD Espanyol Barcelona,Forwards,34650000.0
38,RCD Espanyol Barcelona,Goalkeepers,10340000.0
39,RCD Espanyol Barcelona,Midfielders,30800000.0
40,RCD Mallorca,Defenders,20680000.0
41,RCD Mallorca,Forwards,23870000.0
42,RCD Mallorca,Goalkeepers,12430000.0
43,RCD Mallorca,Midfielders,21780000.0
44,Rayo Vallecano,Defenders,23320000.0
45,Rayo Vallecano,Forwards,36300000.0
46,Rayo Vallecano,Goalkeepers,5610000.0
47,Rayo Vallecano,Midfielders,25520000.0
48,Real Betis Balompié,Defenders,69300000.0
49,Real Betis Balompié,Forwards,70950000.0
50,Real Betis Balompié,Goalkeepers,19800000.0
51,Real Betis Balompié,Midfielders,125950000.0
52,Real Madrid,Defenders,256300000.0
53,Real Madrid,Forwards,311300000.0
54,Real Madrid,Goalkeepers,68750000.0
55,Real Madrid,Midfielders,284900000.0
56,Real Sociedad,Defenders,100650000.0
57,Real Sociedad,Forwards,145750000.0
58,Real Sociedad,Goalkeepers,24530000.0
59,Real Sociedad,Midfielders,137500000.0
60,Real Valladolid CF,Defenders,17545000.0
61,Real Valladolid CF,Forwards,33000000.0
62,Real Valladolid CF,Goalkeepers,5170000.0
63,Real Valladolid CF,Midfielders,15950000.0
64,Sevilla FC,Defenders,94600000.0
65,Sevilla FC,Forwards,123200000.0
66,Sevilla FC,Goalkeepers,25300000.0
67,Sevilla FC,Midfielders,61050000.0
68,UD Almería,Defenders,33660000.0
69,UD Almería,Forwards,36520000.0
70,UD Almería,Goalkeepers,4620000.0
71,UD Almería,Midfielders,20900000.0
72,Valencia CF,Defenders,83050000.0
73,Valencia CF,Forwards,57200000.0
74,Valencia CF,Goalkeepers,24970000.0
75,Valencia CF,Midfielders,95700000.0
76,Villarreal CF,Defenders,134750000.0
77,Villarreal CF,Forwards,191400000.0
78,Villarreal CF,Goalkeepers,8470000.0
79,Villarreal CF,Midfielders,61600000.0
